date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:13	66951/66951	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2023:41:20%20GMT	https://nathanplugintest.wordpress.com/	E:/Website/Test%20Example/nathanplugintest.wordpress.com/index.html	(from )
19:41:13	367/367	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Apr%202018%2023:41:19%20GMT	https://nathanplugintest.wordpress.com/robots.txt		(from )
19:41:14	64521/64521	---MCZ	200	added ('OK')	text/css	etag:W/%225ac66c92-144c2%22	https://s1.wp.com/wp-content/themes/pub/twentyseventeen/style.css?m=1522953338h&cssminify=yes	E:/Website/Test%20Example/s1.wp.com/wp-content/themes/pub/twentyseventeen/style83bc.css	(from https://nathanplugintest.wordpress.com/)
19:41:14	19187/19187	---MCZ	200	added ('OK')	text/css	etag:W/%225abab2a5-5d0c%22	https://s1.wp.com/wp-content/mu-plugins/highlander-comments/style.css?m=1522184747h&cssminify=yes	E:/Website/Test%20Example/s1.wp.com/wp-content/mu-plugins/highlander-comments/styleb543.css	(from https://nathanplugintest.wordpress.com/)
19:41:14	1528/1528	---MCZ	200	added ('OK')	application/rss+xml	date:Wed,%2018%20Apr%202018%2023:26:48%20GMT	https://nathanplugintest.wordpress.com/feed/	E:/Website/Test%20Example/nathanplugintest.wordpress.com/feed/index.html	(from https://nathanplugintest.wordpress.com/)
19:41:14	883/883	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2219dd9d578b899df2ab67fdf099ad0450%22	https://nathanplugintest.wordpress.com/comments/feed/	E:/Website/Test%20Example/nathanplugintest.wordpress.com/comments/feed/index.html	(from https://nathanplugintest.wordpress.com/)
19:41:14	905/905	---MCZ	200	added ('OK')	text/xml	date:Wed,%2018%20Apr%202018%2023:41:21%20GMT	https://nathanplugintest.wordpress.com/xmlrpc.php?rsd	E:/Website/Test%20Example/nathanplugintest.wordpress.com/xmlrpc0db0.php	(from https://nathanplugintest.wordpress.com/)
19:41:14	10046/10046	---M--	200	added ('OK')	image/png	etag:%2254c2cdd6-273e%22	https://s2.wp.com/i/webclip.png	E:/Website/Test%20Example/s2.wp.com/i/webclip.png	(from https://nathanplugintest.wordpress.com/)
19:41:15	1440/1440	---MCZ	200	added ('OK')	application/xml	date:Wed,%2018%20Apr%202018%2023:41:21%20GMT	https://nathanplugintest.wordpress.com/osd.xml	E:/Website/Test%20Example/nathanplugintest.wordpress.com/osd.xml	(from https://nathanplugintest.wordpress.com/)
19:41:15	114854/114854	---M--	200	added ('OK')	image/jpeg	etag:%2258bdc10e-1c0a6%22	https://s2.wp.com/wp-content/themes/pub/twentyseventeen/assets/images/header.jpg	E:/Website/Test%20Example/s2.wp.com/wp-content/themes/pub/twentyseventeen/assets/images/header.jpg	(from https://nathanplugintest.wordpress.com/)
19:41:15	64761/64761	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Apr%202018%2023:41:22%20GMT	https://nathanplugintest.wordpress.com/contact/	E:/Website/Test%20Example/nathanplugintest.wordpress.com/contact/index.html	(from https://nathanplugintest.wordpress.com/)
